Address,City,State,PostalCode,Full_Address,Latitude,Longitude
8900 Willow Rd,Yonkers,NY,10701,"8900 Willow Rd, Yonkers, NY 10701",40.927228,-73.891615
9000 Sycamore Ave,Glendale,AZ,85301,"9000 Sycamore Ave, Glendale, AZ 85301",33.499088,-112.51374
9100 Magnolia Ln,Aurora,IL,60502,"9100 Magnolia Ln, Aurora, IL 60502",41.816542,-88.249519
9200 Dogwood Rd,Montgomery,AL,36101,"9200 Dogwood Rd, Montgomery, AL 36101",32.363903,-86.369968
9300 Redwood Blvd,Amarillo,TX,79101,"9300 Redwood Blvd, Amarillo, TX 79101",35.247509,-101.824284
9400 Sequoia Dr,Little Rock,AR,72201,"9400 Sequoia Dr, Little Rock, AR 72201",34.746905,-92.280049
9500 Fir Ave,Oxnard,CA,93030,"9500 Fir Ave, Oxnard, CA 93030",34.1818026759312,-119.17278120684774
9600 Hemlock Rd,Akron,OH,44301,"9600 Hemlock Rd, Akron, OH 44301",41.035745,-81.527732
9700 Juniper Ln,Shreveport,LA,71101,"9700 Juniper Ln, Shreveport, LA 71101",32.415794,-93.778653
9800 Cypress Blvd,Augusta,GA,30901,"9800 Cypress Blvd, Augusta, GA 30901",33.463904,-81.977528
9900 Spruce Dr,Grand Rapids,MI,49501,"9900 Spruce Dr, Grand Rapids, MI 49501",42.871656,-85.682092
10000 Pinecone Ave,Mobile,AL,36601,"10000 Pinecone Ave, Mobile, AL 36601",30.654081,-88.303063
